Country_or_territory_name,ISO_3_character_country_territory_code,Region,Year,Estimated_total_population_number,Estimated_prevalence_of_TB_all_forms_per_100_000_population,Estimated_prevalence_of_TB_all_forms,Method_to_derive_prevalence_estimates,Estimated_mortality_of_TB_cases_all_forms_excluding_HIV_per_100_000_population,Estimated_number_of_deaths_from_TB_all_forms_excluding_HIV,Estimated_mortality_of_TB_cases_who_are_HIV_positive_per_100_000_population,Estimated_number_of_deaths_from_TB_in_people_who_are_HIV_positive,Method_to_derive_mortality_estimates,Estimated_incidence_all_forms_per_100_000_population,Estimated_number_of_incident_cases_all_forms,Estimated_HIV_in_incident_TB_percent,Estimated_incidence_of_TB_cases_who_are_HIV_positive_per_100_000_population,Estimated_incidence_of_TB_cases_who_are_HIV_positive,Case_detection_rate_all_forms_percent
Bhutan,BTN,SEA,1990,535738,1762,9400,predicted,277,1500,0,0,Indirect,777,4200,0.00999999977648258,0.0399999991059303,0.230000004172325,28
Bhutan,BTN,SEA,1991,534905,1626,8700,predicted,257,1400,0,0,Indirect,731,3900,0.00999999977648258,0.0500000007450581,0.270000010728836,25
Bhutan,BTN,SEA,1992,528304,1496,7900,predicted,235,1200,0,0,Indirect,688,3600,0.00999999977648258,0.0500000007450581,0.280000001192093,3.90000009536743
Bhutan,BTN,SEA,1993,519056,1371,7100,predicted,212,1100,0,0,Indirect,646,3400,0.00999999977648258,0.0599999986588955,0.319999992847443,3.20000004768372
Bhutan,BTN,SEA,1994,511588,1246,6400,predicted,188,960,0,0,Indirect,604,3100,0.00999999977648258,0.0700000002980232,0.379999995231628,37
Bhutan,BTN,SEA,1995,509105,1126,5700,predicted,164,830,0,0,Indirect,563,2900,0.00999999977648258,0.0799999982118607,0.400000005960464,45
Bhutan,BTN,SEA,1996,512594,1014,5200,predicted,142,730,0,0,Indirect,523,2700,0.0199999995529652,0.0900000035762787,0.46000000834465,47
Bhutan,BTN,SEA,1997,521146,907,4700,predicted,125,650,0,0,Indirect,488,2500,0.0199999995529652,0.0900000035762787,0.479999989271164,48
Bhutan,BTN,SEA,1998,533737,817,4400,predicted,110,590,0,0,Indirect,457,2400,0.0199999995529652,0.100000001490116,0.540000021457672,53
Bhutan,BTN,SEA,1999,548599,754,4100,predicted,99,540,0,0,Indirect,428,2300,0.0299999993294477,0.109999999403954,0.589999973773956,50
Bhutan,BTN,SEA,2000,564350,716,4000,predicted,90,510,0,0,Indirect,402,2300,0.0299999993294477,0.119999997317791,0.670000016689301,50
Bhutan,BTN,SEA,2001,580888,673,3900,predicted,83,480,0,0,Indirect,377,2200,0.0299999993294477,0.129999995231628,0.740000009536743,47
Bhutan,BTN,SEA,2002,598455,631,3800,predicted,78,470,0,0,Indirect,353,2100,0.0399999991059303,0.129999995231628,0.800000011920929,52
Bhutan,BTN,SEA,2003,616383,591,3600,predicted,73,450,0,0,Indirect,329,2000,0.0399999991059303,0.140000000596046,0.870000004768372,51
Bhutan,BTN,SEA,2004,633893,548,3500,predicted,68,430,0,0,Indirect,307,1900,0.0500000007450581,0.150000005960464,0.920000016689301,51
Bhutan,BTN,SEA,2005,650417,505,3300,predicted,62,400,0,0,Indirect,287,1900,0.0500000007450581,0.150000005960464,0.970000028610229,54
Bhutan,BTN,SEA,2006,665568,459,3100,predicted,55,370,0,0,Indirect,268,1800,0.0599999986588955,0.150000005960464,1,51
Bhutan,BTN,SEA,2007,679365,418,2800,predicted,48,320,0,0,Indirect,251,1700,0.0599999986588955,0.159999996423721,1.10000002384186,59
Bhutan,BTN,SEA,2008,692159,378,2600,predicted,40,280,0,0,Indirect,235,1600,0.0700000002980232,0.159999996423721,1.10000002384186,59
Bhutan,BTN,SEA,2009,704542,339,2400,predicted,32,230,0,0,Indirect,220,1600,0.0700000002980232,0.159999996423721,1.10000002384186,73
Bhutan,BTN,SEA,2010,716939,302,2200,predicted,26,180,0,0,Indirect,206,1500,0.0799999982118607,0.159999996423721,1.20000004768372,89
Bhutan,BTN,SEA,2011,729429,265,1900,predicted,20,140,0,0,Indirect,192,1400,0.0799999982118607,0.159999996423721,1.20000004768372,88
Bhutan,BTN,SEA,2012,741822,229,1700,predicted,15,110,0,0,Indirect,180,1300,0.0900000035762787,0.159999996423721,1.20000004768372,85
Bhutan,BTN,SEA,2013,753947,196,1500,predicted,12,88,0,0,Indirect,169,1300,0.0900000035762787,0.150000005960464,1.10000002384186,85
Cambodia,KHM,WPR,1990,9057339,1667,150000,survey imputed,207,19000,0.239999994635582,22,Indirect,584,53000,0.0599999986588955,0.370000004768372,33,12
Cambodia,KHM,WPR,1991,9378185,1667,160000,survey imputed,202,19000,0.939999997615814,88,Indirect,581,54000,0.25,1.5,140,20
Cambodia,KHM,WPR,1992,9721775,1667,160000,survey imputed,197,19000,2.79999995231628,270,Indirect,578,56000,0.759999990463257,4.40000009536743,430,29
Cambodia,KHM,WPR,1993,10077404,1667,170000,survey imputed,193,19000,6,610,Indirect,576,58000,1.70000004768372,9.69999980926514,970,23
Cambodia,KHM,WPR,1994,10430268,1667,170000,survey imputed,188,20000,10,1100,Indirect,575,60000,2.90000009536743,17,1700,25
Cambodia,KHM,WPR,1995,10769198,1667,180000,survey imputed,185,20000,15,1600,Indirect,576,62000,4.19999980926514,24,2600,24
Cambodia,KHM,WPR,1996,11090611,1667,180000,survey imputed,182,20000,19,2100,Indirect,578,64000,5.5,31,3500,23
Cambodia,KHM,WPR,1997,11395958,1667,190000,survey imputed,180,21000,23,2600,Indirect,580,66000,6.5,38,4300,24
Cambodia,KHM,WPR,1998,11685332,1667,190000,survey imputed,177,21000,26,3000,Indirect,581,68000,7.40000009536743,43,5000,25
Cambodia,KHM,WPR,1999,11960467,1651,200000,survey imputed,172,21000,28,3300,Indirect,580,69000,8.10000038146973,47,5600,28
Cambodia,KHM,WPR,2000,12222871,1619,200000,survey imputed,166,20000,29,3500,Indirect,575,70000,8.60000038146973,49,6000,27
Cambodia,KHM,WPR,2001,12472586,1571,200000,survey imputed,157,20000,28,3500,Indirect,567,71000,8.80000019073486,50,6200,27
Cambodia,KHM,WPR,2002,12709336,1511,190000,survey,146,19000,27,3400,Indirect,556,71000,8.89999961853027,49,6300,35
Cambodia,KHM,WPR,2003,12934369,1411,180000,survey imputed,135,17000,24,3100,Indirect,542,70000,8.80000019073486,47,6100,40
Cambodia,KHM,WPR,2004,13149386,1318,170000,survey imputed,123,16000,21,2700,Indirect,527,69000,8.39999961853027,44,5800,44
Cambodia,KHM,WPR,2005,13356424,1231,160000,survey imputed,112,15000,17,2300,Indirect,511,68000,7.69999980926514,40,5300,52
Cambodia,KHM,WPR,2006,13555054,1150,160000,survey imputed,102,14000,14,1800,Indirect,496,67000,6.90000009536743,34,4600,52
Cambodia,KHM,WPR,2007,13747288,1074,150000,survey imputed,94,13000,10,1400,Indirect,480,66000,6,29,4000,54
Cambodia,KHM,WPR,2008,13940518,1003,140000,survey imputed,86,12000,8.60000038146973,1200,Indirect,465,65000,5.59999990463257,26,3600,60
Cambodia,KHM,WPR,2009,14144225,937,130000,survey imputed,79,11000,7.09999990463257,1000,Indirect,450,64000,5.09999990463257,23,3300,62
Cambodia,KHM,WPR,2010,14364931,875,130000,survey imputed,74,11000,6.09999990463257,870,Indirect,436,63000,4.80000019073486,21,3000,65
Cambodia,KHM,WPR,2011,14605862,817,120000,survey,70,10000,5.30000019073486,780,Indirect,423,62000,4.59999990463257,19,2800,62
Cambodia,KHM,WPR,2012,14864646,764,110000,survey imputed,68,10000,4.30000019073486,650,Indirect,411,61000,4.09999990463257,17,2500,66
Cambodia,KHM,WPR,2013,15135169,715,110000,survey imputed,66,10000,3.90000009536743,590,Indirect,400,61000,3.90000009536743,15,2300,62
Djibouti,DJI,EMR,1990,589924,1015,6000,predicted,108,640,0.680000007152557,4,Indirect,626,3700,0.330000013113022,2.09999990463257,12,57
Djibouti,DJI,EMR,1991,612589,936,5700,predicted,91,550,0.980000019073486,6,Indirect,618,3800,0.560000002384186,3.5,21,77
Djibouti,DJI,EMR,1992,629373,882,5600,predicted,77,480,1.39999997615814,9,Indirect,615,3900,0.899999976158142,5.5,35,75
Djibouti,DJI,EMR,1993,641900,842,5400,predicted,65,420,1.89999997615814,12,Indirect,617,4000,1.39999997615814,8.60000038146973,55,88
Djibouti,DJI,EMR,1994,652793,813,5300,predicted,56,370,2.59999990463257,17,Indirect,619,4000,2.09999990463257,13,84,82
Djibouti,DJI,EMR,1995,663999,789,5200,predicted,50,330,3.29999995231628,22,Indirect,621,4100,3,19,120,75
Djibouti,DJI,EMR,1996,675891,768,5200,predicted,46,310,4.40000009536743,30,Indirect,621,4200,4.09999990463257,26,170,79
Djibouti,DJI,EMR,1997,687897,754,5200,predicted,44,300,5.69999980926514,39,Indirect,621,4300,5.5,34,230,90
Djibouti,DJI,EMR,1998,699922,746,5200,predicted,44,310,7.40000009536743,52,Indirect,620,4300,7,43,300,87
Djibouti,DJI,EMR,1999,711652,748,5300,predicted,47,340,9.69999980926514,69,Indirect,619,4400,8.60000038146973,53,380,94
Djibouti,DJI,EMR,2000,722887,761,5500,predicted,52,380,12,89,Indirect,619,4500,10,62,450,89
Djibouti,DJI,EMR,2001,733732,776,5700,predicted,59,440,16,120,Indirect,619,4500,11,70,510,92
Djibouti,DJI,EMR,2002,744434,801,6000,predicted,67,500,19,140,Indirect,619,4600,13,78,580,69
Djibouti,DJI,EMR,2003,755085,835,6300,predicted,75,560,23,180,Indirect,619,4700,14,84,640,69
Djibouti,DJI,EMR,2004,765776,855,6500,predicted,81,620,26,200,Indirect,619,4700,14,88,670,62
Djibouti,DJI,EMR,2005,776585,864,6700,predicted,85,660,28,210,Indirect,620,4800,14,89,690,65
Djibouti,DJI,EMR,2006,787544,867,6800,predicted,86,680,27,210,Indirect,620,4900,14,86,680,62
Djibouti,DJI,EMR,2007,798690,871,7000,predicted,85,680,25,200,Indirect,620,4900,13,82,660,65
Djibouti,DJI,EMR,2008,810100,879,7100,predicted,83,670,23,190,Indirect,620,5000,13,77,630,73
Djibouti,DJI,EMR,2009,821865,884,7300,predicted,82,670,21,170,Indirect,620,5100,12,72,590,74
Djibouti,DJI,EMR,2010,834036,890,7400,predicted,83,690,19,160,Indirect,620,5200,11,66,550,81
Djibouti,DJI,EMR,2011,846646,897,7600,predicted,86,730,17,140,Indirect,620,5300,9.60000038146973,59,500,70
Djibouti,DJI,EMR,2012,859652,903,7800,predicted,92,800,15,130,Indirect,620,5300,8.30000019073486,51,440,65
Djibouti,DJI,EMR,2013,872932,906,7900,predicted,100,870,14,120,Indirect,619,5400,7.19999980926514,45,390,58
Guyana,GUY,AMR,1990,725043,198,1400,predicted,7.5,54,0.409999996423721,3,VR,90,650,0.720000028610229,0.639999985694885,4.59999990463257,26
Guyana,GUY,AMR,1991,723259,194,1400,predicted,8.60000038146973,62,0.550000011920929,4,VR,90,650,0.990000009536743,0.879999995231628,6.40000009536743,21
Guyana,GUY,AMR,1992,723008,187,1300,predicted,7.5,54,0.689999997615814,5,VR,89,650,1.20000004768372,1.10000002384186,7.69999980926514,28
Guyana,GUY,AMR,1993,724014,179,1300,predicted,7.09999990463257,51,0.689999997615814,5,VR,88,640,1.39999997615814,1.20000004768372,8.80000019073486,14
Guyana,GUY,AMR,1994,725839,172,1300,predicted,7.30000019073486,53,0.689999997615814,5,VR,88,640,1.60000002384186,1.39999997615814,10,42
Guyana,GUY,AMR,1995,728136,167,1200,predicted,9.10000038146973,67,0.819999992847443,6,VR,88,640,2,1.79999995231628,13,46
Guyana,GUY,AMR,1996,730865,164,1200,predicted,15,110,1.20000004768372,9,VR,90,660,3,2.70000004768372,20,48
Guyana,GUY,AMR,1997,734059,161,1200,predicted,16,120,1.89999997615814,14,VR,93,680,4.59999990463257,4.19999980926514,31,60
Guyana,GUY,AMR,1998,737526,160,1200,predicted,16,120,2.70000004768372,20,VR,96,710,6.80000019073486,6.5,48,45
Guyana,GUY,AMR,1999,741046,158,1200,predicted,12,91,3.79999995231628,28,VR,100,740,9.5,9.39999961853027,70,55
Guyana,GUY,AMR,2000,744471,156,1200,predicted,13,99,4.80000019073486,36,VR imputed,103,770,12,13,95,55
Guyana,GUY,AMR,2001,747657,154,1200,predicted,14,110,5.80000019073486,43,VR,107,800,15,16,120,53
Guyana,GUY,AMR,2002,750629,152,1100,predicted,21,160,6.5,49,VR,110,830,18,20,150,71
Guyana,GUY,AMR,2003,753612,149,1100,predicted,19,140,6.80000019073486,51,VR,113,850,20,22,170,74
Guyana,GUY,AMR,2004,756939,148,1100,predicted,26,200,6.09999990463257,46,VR,115,870,20,23,170,70
Guyana,GUY,AMR,2005,760834,147,1100,predicted,16,120,5.09999990463257,39,VR,115,880,19,22,170,73
Guyana,GUY,AMR,2006,765367,142,1100,predicted,16,120,5.19999980926514,40,VR,115,880,21,24,190,80
Guyana,GUY,AMR,2007,770407,140,1100,predicted,16,120,4.40000009536743,34,VR,114,880,20,22,170,67
Guyana,GUY,AMR,2008,775739,132,1000,predicted,15,120,4.90000009536743,38,VR,113,880,23,25,200,75
Guyana,GUY,AMR,2009,781055,126,980,predicted,12,92,5.09999990463257,40,VR,112,870,25,28,220,88
Guyana,GUY,AMR,2010,786126,123,970,predicted,16,130,4.80000019073486,38,VR,110,870,25,28,220,82
Guyana,GUY,AMR,2011,790882,123,980,predicted,16,130,4.59999990463257,36,VR imputed,110,870,24,27,210,82
Guyana,GUY,AMR,2012,795369,125,990,predicted,16,130,4.09999990463257,33,VR imputed,109,870,23,25,200,86
Guyana,GUY,AMR,2013,799613,129,1000,predicted,16,130,3.79999995231628,30,VR imputed,109,870,21,23,180,78
Haiti,HTI,AMR,1990,7110116,352,25000,predicted,50,3500,20,1400,VR imputed,250,18000,21,53,3700,54
Haiti,HTI,AMR,1991,7255042,354,26000,predicted,55,4000,25,1800,VR imputed,249,18000,24,60,4300,57
Haiti,HTI,AMR,1992,7399862,351,26000,predicted,59,4400,29,2200,VR imputed,247,18000,27,65,4800,54
Haiti,HTI,AMR,1993,7544982,349,26000,predicted,62,4700,33,2500,VR imputed,245,18000,28,69,5200,54
Haiti,HTI,AMR,1994,7691001,348,27000,predicted,64,5000,35,2700,VR imputed,244,19000,29,71,5500,54
Haiti,HTI,AMR,1995,7838241,352,28000,predicted,66,5200,37,2900,VR imputed,245,19000,30,73,5700,32
Haiti,HTI,AMR,1996,7986858,357,29000,predicted,68,5400,37,3000,VR imputed,249,20000,30,74,5900,33
Haiti,HTI,AMR,1997,8136372,365,30000,predicted,69,5600,38,3100,Indirect,253,21000,30,76,6200,49
Haiti,HTI,AMR,1998,8285690,373,31000,predicted,70,5800,37,3100,VR imputed,259,21000,30,76,6300,46
Haiti,HTI,AMR,1999,8433339,379,32000,predicted,69,5800,37,3100,Indirect,265,22000,29,77,6500,41
Haiti,HTI,AMR,2000,8578234,383,33000,predicted,67,5700,36,3100,VR imputed,270,23000,28,76,6600,45
Haiti,HTI,AMR,2001,8720247,385,34000,predicted,65,5700,34,3000,Indirect,274,24000,28,76,6600,43
Haiti,HTI,AMR,2002,8859635,386,34000,predicted,64,5600,32,2900,Indirect,277,25000,27,74,6600,49
Haiti,HTI,AMR,2003,8996229,387,35000,predicted,61,5500,31,2800,Indirect,277,25000,26,72,6500,56
Haiti,HTI,AMR,2004,9129933,383,35000,predicted,59,5400,28,2600,VR,276,25000,25,70,6400,58
Haiti,HTI,AMR,2005,9260879,377,35000,predicted,56,5200,26,2400,VR imputed,272,25000,24,66,6200,57
Haiti,HTI,AMR,2006,9388642,368,35000,predicted,53,5000,23,2200,VR imputed,266,25000,23,62,5800,56
Haiti,HTI,AMR,2007,9513714,353,34000,predicted,49,4700,20,1900,VR imputed,257,24000,22,58,5500,58
Haiti,HTI,AMR,2008,9638255,335,32000,predicted,45,4300,18,1700,VR imputed,248,24000,22,55,5300,61
Haiti,HTI,AMR,2009,9765153,316,31000,predicted,40,3900,15,1500,VR imputed,238,23000,22,52,5100,54
Haiti,HTI,AMR,2010,9896400,296,29000,predicted,36,3600,14,1400,VR imputed,229,23000,22,50,5000,63
Haiti,HTI,AMR,2011,10032864,279,28000,predicted,32,3200,12,1300,VR imputed,220,22000,22,49,4900,69
Haiti,HTI,AMR,2012,10173775,265,27000,predicted,29,2900,10,1000,VR imputed,213,22000,21,46,4600,76
Haiti,HTI,AMR,2013,10317461,254,26000,predicted,26,2700,8.5,880,VR imputed,206,21000,21,43,4400,80
India,IND,SEA,1990,868890700,465,4000000,survey imputed,38,330000,0.0799999982118607,670,VR,217,1900000,0.140000000596046,0.310000002384186,2700,81
India,IND,SEA,1991,886348712,466,4100000,survey imputed,38,340000,0.140000000596046,1200,VR,216,1900000,0.230000004172325,0.490000009536743,4300,81
India,IND,SEA,1992,903749636,467,4200000,survey imputed,38,350000,0.25,2200,VR,216,2000000,0.360000014305115,0.779999971389771,7000,57
India,IND,SEA,1993,921107534,467,4300000,survey imputed,38,350000,0.430000007152557,3900,VR,216,2000000,0.569999992847443,1.20000004768372,11000,54
India,IND,SEA,1994,938452550,467,4400000,survey imputed,38,360000,0.709999978542328,6600,VR,216,2000000,0.879999995231628,1.89999997615814,18000,55
India,IND,SEA,1995,955804355,465,4400000,survey imputed,38,370000,1.10000002384186,11000,VR,216,2100000,1.29999995231628,2.79999995231628,27000,59
India,IND,SEA,1996,973147577,463,4500000,survey imputed,38,370000,1.70000004768372,16000,VR,217,2100000,1.89999997615814,4.09999990463257,39000,61
India,IND,SEA,1997,990460131,459,4600000,survey imputed,39,380000,2.29999995231628,23000,VR,217,2100000,2.5,5.5,55000,53
India,IND,SEA,1998,1007746556,454,4600000,survey imputed,39,390000,3.09999990463257,31000,VR,217,2200000,3.29999995231628,7.09999990463257,72000,50
India,IND,SEA,1999,1025014711,447,4600000,survey imputed,39,400000,3.79999995231628,39000,VR,217,2200000,4.09999990463257,8.80000019073486,90000,55
India,IND,SEA,2000,1042261758,438,4600000,survey imputed,39,400000,4.59999990463257,48000,VR,216,2300000,4.80000019073486,10,110000,49
India,IND,SEA,2001,1059500888,427,4500000,survey imputed,39,410000,5.19999980926514,56000,VR,216,2300000,5.5,12,130000,47
India,IND,SEA,2002,1076705723,414,4500000,survey imputed,39,410000,5.80000019073486,62000,VR,215,2300000,6,13,140000,46
India,IND,SEA,2003,1093786762,399,4400000,survey imputed,38,420000,6.09999990463257,67000,VR,214,2300000,6.40000009536743,14,150000,46
India,IND,SEA,2004,1110626108,383,4300000,survey imputed,37,410000,6.19999980926514,69000,VR,212,2400000,6.69999980926514,14,160000,48
India,IND,SEA,2005,1127143548,365,4100000,survey imputed,36,400000,6,68000,VR,209,2400000,6.69999980926514,14,160000,49
India,IND,SEA,2006,1143289350,347,4000000,survey imputed,34,390000,5.69999980926514,65000,VR,205,2300000,6.69999980926514,14,160000,52
India,IND,SEA,2007,1159095250,328,3800000,survey imputed,33,380000,5.09999990463257,60000,VR,201,2300000,6.5,13,150000,56
India,IND,SEA,2008,1174662334,308,3600000,survey imputed,31,360000,4.59999990463257,54000,VR,196,2300000,6.30000019073486,12,150000,58
India,IND,SEA,2009,1190138069,289,3400000,survey imputed,29,340000,4.09999990463257,49000,VR,191,2300000,6.19999980926514,12,140000,60
India,IND,SEA,2010,1205624648,269,3200000,pooled surveys,27,320000,3.70000004768372,45000,VR,185,2200000,6.09999990463257,11,140000,60
India,IND,SEA,2011,1221156319,249,3000000,survey imputed,24,300000,3.40000009536743,42000,VR,180,2200000,6,11,130000,60
India,IND,SEA,2012,1236686732,230,2800000,survey imputed,22,270000,3.09999990463257,39000,VR,176,2200000,5.80000019073486,10,130000,59
India,IND,SEA,2013,1252139596,211,2600000,survey imputed,19,240000,3,38000,VR imputed,171,2100000,5.69999980926514,9.69999980926514,120000,58
Kazakhstan,KAZ,EUR,1990,16171900,175,28000,predicted,13,2100,0.00999999977648258,1,VR,104,17000,0.0199999995529652,0.0199999995529652,3.59999990463257,65
