Country_or_territory_name,ISO_3_character_country_territory_code,Region,Year,Estimated_total_population_number,Estimated_prevalence_of_TB_all_forms_per_100_000_population,Estimated_prevalence_of_TB_all_forms,Method_to_derive_prevalence_estimates,Estimated_mortality_of_TB_cases_all_forms_excluding_HIV_per_100_000_population,Estimated_number_of_deaths_from_TB_all_forms_excluding_HIV,Estimated_mortality_of_TB_cases_who_are_HIV_positive_per_100_000_population,Estimated_number_of_deaths_from_TB_in_people_who_are_HIV_positive,Method_to_derive_mortality_estimates,Estimated_incidence_all_forms_per_100_000_population,Estimated_number_of_incident_cases_all_forms,Estimated_HIV_in_incident_TB_percent,Estimated_incidence_of_TB_cases_who_are_HIV_positive_per_100_000_population,Estimated_incidence_of_TB_cases_who_are_HIV_positive,Case_detection_rate_all_forms_percent
Peru,PER,AMR,1992,22649612,332,75000,predicted,30,6800,1.89999997615814,430,VR,248,56000,3.59999990463257,8.80000019073486,2000,94
Peru,PER,AMR,1993,23081735,330,76000,predicted,28,6400,2.20000004768372,510,VR imputed,247,57000,4.09999990463257,10,2300,91
Peru,PER,AMR,1994,23511358,326,77000,predicted,26,6100,2.5,590,VR,244,57000,4.69999980926514,12,2700,85
Peru,PER,AMR,1995,23939261,316,76000,predicted,26,6200,2.79999995231628,660,VR,239,57000,5.30000019073486,13,3000,79
Peru,PER,AMR,1996,24365985,304,74000,predicted,21,5100,3,720,VR,230,56000,5.90000009536743,13,3300,74
Peru,PER,AMR,1997,24789855,292,72000,predicted,19,4600,3.09999990463257,770,VR,219,54000,6.30000019073486,14,3400,77
Peru,PER,AMR,1998,25206817,273,69000,predicted,17,4400,3.09999990463257,790,VR,208,52000,6.69999980926514,14,3500,84
Peru,PER,AMR,1999,25611482,257,66000,predicted,12,3000,3.09999990463257,800,VR,196,50000,7.09999990463257,14,3500,80
Peru,PER,AMR,2000,26000080,243,63000,predicted,14,3700,3,790,VR,185,48000,7.30000019073486,13,3500,80
Peru,PER,AMR,2001,26372358,230,61000,predicted,12,3100,3,780,VR,175,46000,7.40000009536743,13,3400,80
Peru,PER,AMR,2002,26729909,219,59000,predicted,11,2900,2.79999995231628,750,VR,167,45000,7.40000009536743,12,3300,81
Peru,PER,AMR,2003,27073334,211,57000,predicted,11,2800,2.59999990463257,710,VR,161,44000,7.19999980926514,12,3100,74
Peru,PER,AMR,2004,27403845,203,56000,predicted,9.80000019073486,2700,2.5,680,VR,155,42000,7.19999980926514,11,3000,79
Peru,PER,AMR,2005,27723281,197,55000,predicted,9.69999980926514,2700,2.40000009536743,650,VR,150,42000,7.09999990463257,11,3000,81
Peru,PER,AMR,2006,28030688,191,54000,predicted,8.60000038146973,2400,2.09999990463257,590,VR,146,41000,6.80000019073486,9.89999961853027,2800,84
Peru,PER,AMR,2007,28328410,187,53000,predicted,7.90000009536743,2200,1.89999997615814,550,VR,142,40000,6.69999980926514,9.39999961853027,2700,81
Peru,PER,AMR,2008,28625628,182,52000,predicted,7.80000019073486,2200,1.79999995231628,510,VR,138,40000,6.5,9,2600,81
Peru,PER,AMR,2009,28934303,178,52000,predicted,8.5,2500,1.60000002384186,470,VR,135,39000,6.40000009536743,8.60000038146973,2500,81
Peru,PER,AMR,2010,29262830,174,51000,predicted,8.5,2500,1.5,440,VR,132,39000,6.19999980926514,8.10000038146973,2400,80
Peru,PER,AMR,2011,29614887,171,51000,predicted,8,2400,1.5,450,VR imputed,129,38000,6.30000019073486,8.10000038146973,2400,82
Peru,PER,AMR,2012,29987800,167,50000,predicted,7.80000019073486,2400,1.5,450,VR imputed,127,38000,6.30000019073486,8,2400,78
Peru,PER,AMR,2013,30375603,164,50000,predicted,7.69999980926514,2300,1.39999997615814,420,VR imputed,124,38000,6.09999990463257,7.5,2300,79
Somalia,SOM,EMR,1990,6321615,670,42000,predicted,117,7400,0.660000026226044,42,Indirect,286,18000,0.319999992847443,0.899999976158142,57,34
Somalia,SOM,EMR,1991,6319531,665,42000,predicted,114,7200,1,65,Indirect,285,18000,0.5,1.39999997615814,88,34
Somalia,SOM,EMR,1992,6294017,662,42000,predicted,112,7100,1.5,94,Indirect,285,18000,0.730000019073486,2.09999990463257,130,34
Somalia,SOM,EMR,1993,6269244,657,41000,predicted,110,6900,2.09999990463257,130,Indirect,285,18000,1,2.90000009536743,180,34
Somalia,SOM,EMR,1994,6278911,652,41000,predicted,107,6700,2.70000004768372,170,Indirect,286,18000,1.29999995231628,3.79999995231628,240,11
Somalia,SOM,EMR,1995,6346440,645,41000,predicted,104,6600,3.29999995231628,210,Indirect,286,18000,1.70000004768372,4.80000019073486,310,14
Somalia,SOM,EMR,1996,6481035,633,41000,predicted,101,6500,3.90000009536743,250,Indirect,286,19000,2.09999990463257,5.90000009536743,380,21
Somalia,SOM,EMR,1997,6673254,623,42000,predicted,97,6500,4.40000009536743,290,Indirect,286,19000,2.40000009536743,6.80000019073486,460,23
Somalia,SOM,EMR,1998,6904978,609,42000,predicted,94,6500,4.80000019073486,330,Indirect,285,20000,2.70000004768372,7.69999980926514,530,22
Somalia,SOM,EMR,1999,7149044,593,42000,predicted,90,6400,5.09999990463257,370,Indirect,285,20000,3,8.5,610,24
Somalia,SOM,EMR,2000,7385416,578,43000,predicted,86,6300,5.19999980926514,380,Indirect,285,21000,3.20000004768372,9,670,27
Somalia,SOM,EMR,2001,7609265,564,43000,predicted,81,6200,5.09999990463257,390,Indirect,285,22000,3.29999995231628,9.39999961853027,710,32
Somalia,SOM,EMR,2002,7825924,549,43000,predicted,77,6000,5,390,Indirect,285,22000,3.40000009536743,9.60000038146973,750,33
Somalia,SOM,EMR,2003,8037706,532,43000,predicted,73,5900,4.80000019073486,390,Indirect,285,23000,3.40000009536743,9.69999980926514,780,40
Somalia,SOM,EMR,2004,8249965,521,43000,predicted,70,5800,4.59999990463257,380,Indirect,285,24000,3.40000009536743,9.69999980926514,800,50
Somalia,SOM,EMR,2005,8466938,513,43000,predicted,68,5800,4.5,380,Indirect,285,24000,3.40000009536743,9.60000038146973,810,53
Somalia,SOM,EMR,2006,8687671,512,45000,predicted,67,5900,4.30000019073486,380,Indirect,285,25000,3.29999995231628,9.39999961853027,820,48
Somalia,SOM,EMR,2007,8910851,511,46000,predicted,68,6000,4.30000019073486,380,Indirect,285,25000,3.29999995231628,9.30000019073486,830,44
Somalia,SOM,EMR,2008,9140259,513,47000,predicted,69,6300,4.19999980926514,390,Indirect,286,26000,3.20000004768372,9.10000038146973,830,48
Somalia,SOM,EMR,2009,9380854,517,48000,predicted,71,6600,4.19999980926514,400,Indirect,286,27000,3.09999990463257,8.89999961853027,840,41
Somalia,SOM,EMR,2010,9636173,523,50000,predicted,72,6900,4.19999980926514,400,Indirect,286,28000,3.09999990463257,8.69999980926514,840,37
Somalia,SOM,EMR,2011,9907903,531,53000,predicted,73,7200,4.09999990463257,410,Indirect,286,28000,3,8.60000038146973,850,41
Somalia,SOM,EMR,2012,10195134,538,55000,predicted,74,7500,4.09999990463257,420,Indirect,286,29000,3,8.39999961853027,860,41
Somalia,SOM,EMR,2013,10495583,548,57000,predicted,74,7700,4,430,Indirect,285,30000,2.90000009536743,8.30000019073486,870,43
Swaziland,SWZ,AFR,1990,862728,437,3800,predicted,60,510,5.69999980926514,49,Indirect,275,2400,4.90000009536743,13,110,61
Swaziland,SWZ,AFR,1991,887248,407,3600,predicted,52,460,10,92,Indirect,266,2400,9.60000038146973,25,220,65
Swaziland,SWZ,AFR,1992,907947,362,3300,predicted,43,390,17,150,Indirect,259,2400,17,44,400,61
Swaziland,SWZ,AFR,1993,926224,324,3000,predicted,34,320,25,230,Indirect,262,2400,27,71,650,60
Swaziland,SWZ,AFR,1994,944223,308,2900,predicted,29,270,35,330,Indirect,282,2700,38,106,1000,61
Swaziland,SWZ,AFR,1995,963428,324,3100,predicted,28,270,49,470,Indirect,326,3100,47,154,1500,65
Swaziland,SWZ,AFR,1996,984506,370,3600,predicted,31,300,70,690,Indirect,399,3900,54,215,2100,60
Swaziland,SWZ,AFR,1997,1006760,429,4300,predicted,35,350,99,1000,Indirect,492,4900,59,292,2900,61
Swaziland,SWZ,AFR,1998,1028694,485,5000,predicted,38,390,133,1400,Indirect,595,6100,64,382,3900,60
Swaziland,SWZ,AFR,1999,1048151,529,5500,predicted,40,420,170,1800,Indirect,700,7300,69,482,5000,57
Swaziland,SWZ,AFR,2000,1063715,561,6000,predicted,39,420,205,2200,Indirect,802,8500,73,584,6200,69
Swaziland,SWZ,AFR,2001,1074761,590,6300,predicted,38,410,233,2500,Indirect,894,9600,76,680,7300,64
Swaziland,SWZ,AFR,2002,1082183,619,6700,predicted,37,400,253,2700,Indirect,977,11000,78,764,8300,64
Swaziland,SWZ,AFR,2003,1087929,644,7000,predicted,35,380,269,2900,Indirect,1049,11000,80,837,9100,68
Swaziland,SWZ,AFR,2004,1094758,670,7300,predicted,35,380,278,3000,Indirect,1110,12000,81,896,9800,66
Swaziland,SWZ,AFR,2005,1104642,701,7700,predicted,36,400,279,3100,Indirect,1157,13000,81,932,10000,68
Swaziland,SWZ,AFR,2006,1118253,737,8200,predicted,39,440,273,3100,Indirect,1190,13000,79,945,11000,68
Swaziland,SWZ,AFR,2007,1134977,760,8600,predicted,42,470,272,3100,Indirect,1214,14000,79,957,11000,64
Swaziland,SWZ,AFR,2008,1153929,751,8700,predicted,41,480,284,3300,Indirect,1234,14000,80,990,11000,61
Swaziland,SWZ,AFR,2009,1173678,738,8700,predicted,42,490,302,3500,Indirect,1254,15000,82,1024,12000,68
Swaziland,SWZ,AFR,2010,1193148,724,8600,predicted,43,510,332,4000,Indirect,1279,15000,83,1063,13000,66
Swaziland,SWZ,AFR,2011,1212159,825,10000,predicted,62,750,339,4100,Indirect,1311,16000,78,1028,12000,52
Swaziland,SWZ,AFR,2012,1230985,911,11000,predicted,80,990,355,4400,Indirect,1347,17000,76,1015,12000,43
Swaziland,SWZ,AFR,2013,1249514,945,12000,predicted,91,1100,400,5000,Indirect,1382,17000,75,1038,13000,38
Philippines,PHL,WPR,1990,61948688,1003,620000,survey imputed,55,34000,0,1,VR imputed,441,270000,0,0.00999999977648258,8.5,120
Philippines,PHL,WPR,1991,63476449,987,630000,survey imputed,54,34000,0,2,VR imputed,433,270000,0,0.0199999995529652,12,75
Philippines,PHL,WPR,1992,64996507,968,630000,survey imputed,52,34000,0.00999999977648258,4,VR,425,280000,0.00999999977648258,0.0299999993294477,17,85
Philippines,PHL,WPR,1993,66517085,948,630000,survey imputed,52,34000,0.00999999977648258,6,VR,418,280000,0.00999999977648258,0.0299999993294477,22,64
Philippines,PHL,WPR,1994,68050807,927,630000,survey imputed,51,35000,0.00999999977648258,10,VR,410,280000,0.00999999977648258,0.0399999991059303,29,64
Philippines,PHL,WPR,1995,69606539,904,630000,survey imputed,50,35000,0.0199999995529652,14,VR,403,280000,0.00999999977648258,0.0500000007450581,38,42
Philippines,PHL,WPR,1996,71184718,880,630000,survey imputed,48,34000,0.0299999993294477,19,VR,396,280000,0.0199999995529652,0.0700000002980232,49,59
Philippines,PHL,WPR,1997,72780928,855,620000,survey,42,31000,0.0299999993294477,25,VR,389,280000,0.0199999995529652,0.0799999982118607,61,69
Philippines,PHL,WPR,1998,74393147,829,620000,survey imputed,43,32000,0.0399999991059303,32,VR,382,280000,0.0299999993294477,0.100000001490116,74,57
Philippines,PHL,WPR,1999,76018006,803,610000,survey imputed,45,34000,0.0500000007450581,40,VR,375,290000,0.0299999993294477,0.119999997317791,89,51
Philippines,PHL,WPR,2000,77651848,775,600000,survey imputed,40,31000,0.0599999986588955,48,VR,368,290000,0.0399999991059303,0.140000000596046,110,42
Philippines,PHL,WPR,2001,79297756,748,590000,survey imputed,39,31000,0.0700000002980232,57,VR,362,290000,0.0399999991059303,0.159999996423721,120,37
Philippines,PHL,WPR,2002,80953652,719,580000,survey imputed,40,32000,0.0799999982118607,67,VR,355,290000,0.0500000007450581,0.170000001788139,140,41
Philippines,PHL,WPR,2003,82604681,691,570000,survey imputed,38,31000,0.0900000035762787,76,VR,349,290000,0.0599999986588955,0.189999997615814,160,46
Philippines,PHL,WPR,2004,84231329,662,560000,survey imputed,36,31000,0.100000001490116,84,VR imputed,343,290000,0.0599999986588955,0.209999993443489,180,45
Philippines,PHL,WPR,2005,85821214,633,540000,survey imputed,35,30000,0.100000001490116,89,VR imputed,337,290000,0.0700000002980232,0.219999998807907,190,47
Philippines,PHL,WPR,2006,87366573,605,530000,survey imputed,34,30000,0.100000001490116,89,VR imputed,331,290000,0.0700000002980232,0.230000004172325,200,51
Philippines,PHL,WPR,2007,88875548,576,510000,survey,33,29000,0.100000001490116,86,VR imputed,325,290000,0.0700000002980232,0.239999994635582,210,49
Philippines,PHL,WPR,2008,90371287,548,490000,survey imputed,31,28000,0.0900000035762787,83,VR,319,290000,0.0799999982118607,0.25,220,48
Philippines,PHL,WPR,2009,91886400,520,480000,survey imputed,31,28000,0.0900000035762787,80,VR imputed,314,290000,0.0799999982118607,0.25,230,51
Philippines,PHL,WPR,2010,93444322,502,470000,survey imputed,30,28000,0.100000001490116,92,VR imputed,308,290000,0.100000001490116,0.310000002384186,290,58
Philippines,PHL,WPR,2011,95053437,484,460000,survey imputed,29,27000,0.0900000035762787,90,VR imputed,303,290000,0.109999999403954,0.349999994039536,330,68
Philippines,PHL,WPR,2012,96706764,461,450000,survey imputed,28,27000,0.0700000002980232,70,VR imputed,297,290000,0.109999999403954,0.319999992847443,310,75
Philippines,PHL,WPR,2013,98393574,438,430000,survey imputed,27,27000,0.0599999986588955,58,VR imputed,292,290000,0.109999999403954,0.319999992847443,310,80
Russian Federation,RUS,EUR,1990,148148752,88,130000,predicted,8.19999980926514,12000,0.0399999991059303,65,VR,50,73000,0.239999994635582,0.119999997317791,180,69
Russian Federation,RUS,EUR,1991,148577986,96,140000,predicted,8.5,13000,0.0700000002980232,99,VR,57,85000,0.319999992847443,0.180000007152557,270,59
Russian Federation,RUS,EUR,1992,148798341,108,160000,predicted,9.80000019073486,15000,0.100000001490116,140,VR,66,99000,0.400000005960464,0.270000010728836,400,54
Russian Federation,RUS,EUR,1993,148842678,122,180000,predicted,13,20000,0.129999995231628,200,VR,76,110000,0.490000009536743,0.370000004768372,560,56
Russian Federation,RUS,EUR,1994,148763601,137,200000,predicted,15,23000,0.180000007152557,260,VR,86,130000,0.579999983310699,0.5,750,55
Russian Federation,RUS,EUR,1995,148602147,150,220000,predicted,16,24000,0.219999998807907,330,VR,96,140000,0.680000007152557,0.649999976158142,960,60
Russian Federation,RUS,EUR,1996,148375246,162,240000,predicted,18,27000,0.270000010728836,400,VR,104,150000,0.779999971389771,0.810000002384186,1200,72
Russian Federation,RUS,EUR,1997,148079919,170,250000,predicted,18,26000,0.319999992847443,470,VR,111,160000,0.899999976158142,1,1500,72
Russian Federation,RUS,EUR,1998,147715550,177,260000,predicted,16,24000,0.370000004768372,550,VR,118,170000,1,1.20000004768372,1800,64
Russian Federation,RUS,EUR,1999,147275875,186,270000,predicted,21,31000,0.430000007152557,640,VR,123,180000,1.20000004768372,1.5,2200,74
Russian Federation,RUS,EUR,2000,146762881,194,280000,predicted,21,31000,0.529999971389771,780,VR,128,190000,1.39999997615814,1.79999995231628,2700,75
Russian Federation,RUS,EUR,2001,146170247,201,290000,predicted,21,30000,0.709999978542328,1000,VR,132,190000,1.79999995231628,2.40000009536743,3500,69
Russian Federation,RUS,EUR,2002,145520813,208,300000,predicted,23,33000,0.910000026226044,1300,VR,136,200000,2.20000004768372,2.90000009536743,4300,65
Russian Federation,RUS,EUR,2003,144879644,214,310000,predicted,23,33000,1.10000002384186,1600,VR,138,200000,2.59999990463257,3.5,5100,65
Russian Federation,RUS,EUR,2004,144331352,215,310000,predicted,22,32000,1.29999995231628,1900,VR,138,200000,3,4.09999990463257,6000,61
Russian Federation,RUS,EUR,2005,143932966,210,300000,predicted,23,34000,1.5,2200,VR,136,200000,3.40000009536743,4.59999990463257,6700,65
Russian Federation,RUS,EUR,2006,143715023,200,290000,predicted,21,30000,1.5,2200,VR,132,190000,3.79999995231628,5,7200,66
Russian Federation,RUS,EUR,2007,143652377,186,270000,predicted,19,27000,1.5,2100,VR,126,180000,4.09999990463257,5.09999990463257,7400,70
Russian Federation,RUS,EUR,2008,143677033,171,250000,predicted,19,27000,1.29999995231628,1900,VR,119,170000,4.40000009536743,5.19999980926514,7500,75
Russian Federation,RUS,EUR,2009,143689741,155,220000,predicted,18,25000,1.20000004768372,1700,VR,112,160000,4.69999980926514,5.19999980926514,7500,83
Russian Federation,RUS,EUR,2010,143617913,140,200000,predicted,16,23000,1.10000002384186,1600,VR,105,150000,5.09999990463257,5.30000019073486,7700,83
Russian Federation,RUS,EUR,2011,143438152,128,180000,predicted,15,21000,1.10000002384186,1600,VR,99,140000,5.69999980926514,5.59999990463257,8000,80
Ukraine,UKR,EUR,1990,51658594,71,37000,predicted,9.60000038146973,5000,0.0599999986588955,31,VR,48,25000,0.400000005960464,0.189999997615814,97,67
Ukraine,UKR,EUR,1991,51678509,84,43000,predicted,9.69999980926514,5000,0.0900000035762787,49,VR,52,27000,0.519999980926514,0.270000010728836,140,62
Ukraine,UKR,EUR,1992,51647501,97,50000,predicted,11,5500,0.150000005960464,78,VR,58,30000,0.689999997615814,0.400000005960464,210,61
Ukraine,UKR,EUR,1993,51555398,110,57000,predicted,12,6000,0.239999994635582,120,VR,64,33000,0.939999997615814,0.610000014305115,310,60
Ukraine,UKR,EUR,1994,51390495,124,63000,predicted,12,6200,0.379999995231628,200,VR,71,37000,1.29999995231628,0.939999997615814,480,56
Ukraine,UKR,EUR,1995,51146967,136,70000,predicted,15,7900,0.579999983310699,300,VR,79,40000,1.79999995231628,1.39999997615814,740,53
Ukraine,UKR,EUR,1996,50821019,148,75000,predicted,17,8800,0.860000014305115,440,VR,86,44000,2.5,2.20000004768372,1100,53
Ukraine,UKR,EUR,1997,50421998,158,80000,predicted,18,9100,1.20000004768372,600,VR,94,47000,3.40000009536743,3.20000004768372,1600,60
Ukraine,UKR,EUR,1998,49974187,166,83000,predicted,17,8400,1.60000002384186,780,VR,101,51000,4.40000009536743,4.40000009536743,2200,55
Ukraine,UKR,EUR,1999,49510626,168,83000,predicted,21,10000,1.89999997615814,960,VR,108,54000,5.40000009536743,5.90000009536743,2900,61
Ukraine,UKR,EUR,2000,49057226,164,80000,predicted,23,11000,2.29999995231628,1100,VR,114,56000,6.5,7.5,3700,59
Ukraine,UKR,EUR,2001,48620596,163,79000,predicted,24,11000,2.59999990463257,1300,VR,119,58000,7.59999990463257,9.10000038146973,4400,63
Ukraine,UKR,EUR,2002,48200504,163,79000,predicted,21,10000,2.90000009536743,1400,VR,123,59000,8.60000038146973,11,5100,68
Ukraine,UKR,EUR,2003,47807199,162,77000,predicted,23,11000,3.09999990463257,1500,VR,126,60000,9.39999961853027,12,5700,130
Ukraine,UKR,EUR,2004,47450472,161,76000,predicted,24,11000,3.29999995231628,1600,VR,127,60000,10,13,6100,68
Ukraine,UKR,EUR,2005,47135932,163,77000,predicted,26,12000,3.40000009536743,1600,VR,127,60000,11,14,6400,66
Ukraine,UKR,EUR,2006,46871328,163,77000,predicted,23,11000,3.59999990463257,1700,VR,125,59000,11,14,6600,70
Ukraine,UKR,EUR,2007,46653183,161,75000,predicted,23,11000,3.79999995231628,1800,VR,123,57000,12,14,6700,66
Ukraine,UKR,EUR,2008,46461350,155,72000,predicted,23,11000,3.90000009536743,1800,VR,119,55000,12,14,6700,68
Ukraine,UKR,EUR,2009,46267306,149,69000,predicted,19,8700,4.09999990463257,1900,VR,115,53000,13,15,6800,68
Ukraine,UKR,EUR,2010,46050220,142,65000,predicted,17,8000,4.09999990463257,1900,VR,110,51000,14,15,7000,67
Ukraine,UKR,EUR,2011,45802721,134,61000,predicted,16,7200,4,1800,VR,105,48000,15,16,7200,71
Ukraine,UKR,EUR,2012,45529944,126,58000,predicted,16,7100,3.59999990463257,1600,VR,101,46000,16,16,7300,89
Ukraine,UKR,EUR,2013,45238805,120,54000,predicted,14,6600,2.79999995231628,1300,VR imputed,96,44000,16,16,7200,84
Russian Federation,RUS,EUR,2012,143169653,120,170000,predicted,13,19000,1,1500,VR,93,130000,6.09999990463257,5.69999980926514,8100,79
Russian Federation,RUS,EUR,2013,142833689,114,160000,predicted,12,17000,0.980000019073486,1400,VR,89,130000,6.19999980926514,5.5,7900,83
